City,Population,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3
Brewster,"9,888",17,0,2,0,15,99,27,71,1,1
Brimfield,"3,756",4,0,0,1,3,19,4,13,2,0
Brockton,"95,189","1,029",3,83,169,774,"2,290",512,"1,498",280,13
Brookline4,"59,033",,0,2,12,,610,77,523,10,0
Burlington,"26,083",52,0,7,8,37,453,23,419,11,3
Cambridge,"111,030",294,2,28,76,188,"2,369",326,"1,924",119,6
Canton,"22,962",78,0,5,4,69,198,27,156,15,1
Carlisle,"5,300",1,0,0,1,0,23,1,22,0,0
Carver,"11,600",28,0,3,2,23,103,17,76,10,1
Charlton,"13,430",11,0,2,2,7,80,12,63,5,0
Chatham,"6,119",7,0,2,1,4,75,13,61,1,0
Chelmsford,"35,251",29,0,2,5,22,422,25,379,18,1
Chelsea,"40,096",370,1,23,136,210,914,130,671,113,5
Chicopee,"56,887",265,2,45,50,168,"1,316",339,882,95,2
Chilmark,926,4,0,0,0,4,7,2,5,0,0
Clinton,"13,780",8,0,0,2,6,56,7,49,0,0
Cohasset,"8,538",19,0,3,1,15,66,21,42,3,1
Concord,"20,189",18,0,2,1,15,132,19,113,0,1
Dalton,"6,642",12,0,1,0,11,63,17,44,2,1
Danvers,"27,997",39,1,1,7,30,608,29,559,20,1
Dartmouth,"34,630",72,0,6,7,59,804,99,678,27,0
Dedham,"25,402",10,1,0,4,5,504,27,441,36,0
Deerfield,"4,994",6,0,1,0,5,55,6,47,2,1
Dennis,"13,905",57,0,9,1,47,320,76,228,16,0
Dighton,"7,430",8,0,3,1,4,52,16,29,7,
Douglas,"8,741",12,0,6,0,6,42,5,28,9,0
Dover,"6,008",2,0,1,0,1,36,8,27,1,0
Dracut,"31,586",38,1,3,3,31,404,64,316,24,0
Dudley,"11,558",32,0,8,1,23,56,11,38,7,0
Dunstable,"3,471",4,0,0,0,4,16,4,12,0,2
Duxbury,"15,497",14,0,2,0,12,91,16,74,1,0
East Bridgewater,"14,390",20,0,7,1,12,134,14,112,8,0
East Brookfield,"2,178",7,0,0,0,7,12,5,6,1,0
Eastham,"4,886",9,0,1,1,7,56,8,46,2,0
Easthampton,"16,026",50,0,8,2,40,167,25,137,5,1
East Longmeadow,"16,267",20,0,7,2,11,193,33,154,6,0
Easton,"23,918",38,1,9,4,24,223,38,166,19,0
Edgartown,"4,354",9,0,3,0,6,100,12,87,1,0
Egremont,"1,207",1,0,0,0,1,4,3,1,0,
Erving,"1,771",3,0,1,0,2,33,11,22,0,2
Everett,"46,754",145,1,8,34,102,652,91,489,72,2
Fairhaven,"16,120",56,0,9,4,43,373,67,294,12,0
